"stockid","stocklong","assessid","scientificname","commonname","areaid","region"
"SABLEFEBSAIGA","Sablefish Eastern Bering Sea / Aleutian Islands / Gulf of Alaska","AFSC-SABLEFEBSAIGA-1958-2010-STACHURA","Anoplopoma fimbria","Sablefish","USA-NMFS-EBSAIGA","US Alaska"
"SABLEFPCAN","Sablefish Pacific Coast of Canada","DFO-PAC-SABLEFPCAN-1913-2010-HIVELY","Anoplopoma fimbria","Sablefish","Canada-DFO-PCOAST","Canada West Coast"
"SABLEFPCOAST","Sablefish Pacific Coast","NWFSC-SABLEFPCOAST-1900-2011-STACHURA","Anoplopoma fimbria","Sablefish","USA-NMFS-PCOAST","US West Coast"
"SAILEATL","Sailfish Eastern Atlantic","ICCAT-SAILEATL-1956-2010-CHING","Istiophorus albicans","Sailfish","multinational-ICCAT-EATL","Atlantic Ocean"
"SAILWATL","Sailfish Western Atlantic","ICCAT-SAILWATL-1956-2010-CHING","Istiophorus albicans","Sailfish","multinational-ICCAT-WATL","Atlantic Ocean"
"SBARSHARATL","Sandbar shark Atlantic","SEFSC-SBARSHARATL-1975-2004-FAUCONNET","Carcharhinus plumbeus","Sandbar shark","USA-NMFS-ATL","US Southeast and Gulf"
"SCALL5ZMAB","Sea scallop Georges Bank and Mid-Atlantic Bight","NEFSC-SCALL5ZMAB-1964-2013-HIVELY","Placopecten magellanicus","Sea scallop","USA-NMFS-5ZMAB","US East Coast"
"SHCROCKPCOAST","Sharpchin rockfish Pacific Coast","NWFSC-SHCROCKPCOAST-1892-2012-SISIMP2016","Sebastes zacentrus","Sharpchin rockfish","USA-NMFS-PCOAST","US West Coast"
"SKJCIO","Skipjack tuna Indian Ocean","IOTC-SKJCIO-1950-2014-PONS","Katsuwonus pelamis","Skipjack tuna","multinational-IOTC-IO","Indian Ocean"
"SKJCWPAC","Skipjack tuna Central Western Pacific Ocean","SPC-SKJCWPAC-1950-2012-PONS","Katsuwonus pelamis","Skipjack tuna","multinational-WCPFC-CWPAC","Pacific Ocean"
