"id_timeseries","var_cause","var_consequence","causality","rho_simplex_cons","positive_rho_simplex_cons","test_above_surr","test_kendall_tau","kendall_tau","kendall_pval","rho_max","stocklong","assessid","scientificname","commonname","areaid","region"
"BMARLINATL","UdivUmsypref","prodbest.divTB","No",0.88076394174611,TRUE,FALSE,TRUE,0.894736766815186,0,0.716006707813143,"Blue marlin Atlantic Ocean","ICCAT-BMARLINATL-1956-2010-CHING","Makaira nigricans","Blue marlin","multinational-ICCAT-ATL","Atlantic Ocean"
"BMARLINATL","prodbest.divTB","sst.z","Yes",0.718412635997704,TRUE,TRUE,TRUE,0.642105221748352,8.64267349243164e-05,0.757523986448424,"Blue marlin Atlantic Ocean","ICCAT-BMARLINATL-1956-2010-CHING","Makaira nigricans","Blue marlin","multinational-ICCAT-ATL","Atlantic Ocean"
"BMARLINATL","prodbest.divTB","UdivUmsypref","No",0.856529977490854,TRUE,TRUE,FALSE,0.0315789431333542,0.871131420135498,0.695536178396736,"Blue marlin Atlantic Ocean","ICCAT-BMARLINATL-1956-2010-CHING","Makaira nigricans","Blue marlin","multinational-ICCAT-ATL","Atlantic Ocean"
"BMARLINIO","sst.z","prodbest.divTB","No",0.719917668781168,TRUE,FALSE,FALSE,-0.547368347644806,0.000832486082799733,0.368087030769739,"Indo Pacific blue marlin Indian Ocean","IOTC-BMARLINIO-1950-2014-PONS","Makaira mazara","Indo Pacific blue marlin","multinational-IOTC-IO","Indian Ocean"
"BMARLINIO","UdivUmsypref","prodbest.divTB","Yes",0.719917668781168,TRUE,TRUE,TRUE,0.442105233669281,0.00708389282226562,0.860751564446982,"Indo Pacific blue marlin Indian Ocean","IOTC-BMARLINIO-1950-2014-PONS","Makaira mazara","Indo Pacific blue marlin","multinational-IOTC-IO","Indian Ocean"
"BMARLINIO","prodbest.divTB","sst.z","No",0.449981420739078,TRUE,FALSE,TRUE,0.72631573677063,8.82148742675781e-06,0.413095952589312,"Indo Pacific blue marlin Indian Ocean","IOTC-BMARLINIO-1950-2014-PONS","Makaira mazara","Indo Pacific blue marlin","multinational-IOTC-IO","Indian Ocean"
"BMARLINIO","prodbest.divTB","UdivUmsypref","No",0.955382577204657,TRUE,FALSE,TRUE,0.926315724849701,0,0.701759781163886,"Indo Pacific blue marlin Indian Ocean","IOTC-BMARLINIO-1950-2014-PONS","Makaira mazara","Indo Pacific blue marlin","multinational-IOTC-IO","Indian Ocean"
"BOCACCBCW","sst.z","prodbest.divTB","No",0.679622214569817,TRUE,FALSE,TRUE,0.778947293758392,1.9073486328125e-06,0.0784817483646246,"Bocaccio British Columbia Waters","DFO-PAC-BOCACCBCW-1935-2012-CHING","Sebastes paucispinis","Bocaccio","Canada-DFO-BCW","Canada West Coast"
"BOCACCBCW","UdivUmsypref","prodbest.divTB","No",0.679622214569817,TRUE,FALSE,TRUE,0.347368389368057,0.0349550247192383,0.542031015996652,"Bocaccio British Columbia Waters","DFO-PAC-BOCACCBCW-1935-2012-CHING","Sebastes paucispinis","Bocaccio","Canada-DFO-BCW","Canada West Coast"
"BOCACCBCW","prodbest.divTB","sst.z","No",0.252213653153493,TRUE,FALSE,FALSE,-0.515789449214935,0.00164901011157781,0.0159467963621249,"Bocaccio British Columbia Waters","DFO-PAC-BOCACCBCW-1935-2012-CHING","Sebastes paucispinis","Bocaccio","Canada-DFO-BCW","Canada West Coast"
